           iteration                time              height            velocity
                 282                2.82            0.300187           -0.901848
                 283                2.83            0.291168           -0.901351
                 284                2.84            0.282155           -0.900852
                 285                2.85            0.273146           -0.900353
                 286                2.86            0.264143           -0.899852
                 287                2.87            0.255144           -0.899351
                 288                2.88            0.246151           -0.898849
                 289                2.89            0.237162           -0.898346
                 290                 2.9            0.228179           -0.897842
                 291                2.91              0.2192           -0.897337
                 292                2.92            0.210227           -0.896831
                 293                2.93            0.201259           -0.896325
                 294                2.94            0.192296           -0.895818
                 295                2.95            0.183337           -0.895309
                 296                2.96            0.174384             -0.8948
                 297                2.97            0.165436           -0.894291
                 298                2.98            0.156493            -0.89378
                 299                2.99            0.147556           -0.893269
                 300                   3            0.138623           -0.892756
                 301                3.01            0.129695           -0.892243
                 302                3.02            0.120773            -0.89173
                 303                3.03            0.111856           -0.891215
                 304                3.04            0.102943             -0.8907
                 305                3.05           0.0940365           -0.890184
                 306                3.06           0.0851346           -0.889667
                 307                3.07           0.0762379           -0.889149
                 308                3.08           0.0673465           -0.888631
                 309                3.09           0.0584601           -0.888112
                 310                 3.1            0.049579           -0.887592
                 311                3.11           0.0407031           -0.887072
                 312                3.12           0.0318324            -0.88655
                 313                3.13           0.0229669           -0.886029
                 314                3.14           0.0141066           -0.885506
                 315                3.15          0.00525154           -0.884983
                 316                3.16         -0.00359829           -0.884459
                 317                3.17          -0.0124429           -0.883934
                 318                3.18          -0.0212822           -0.883409
                 319                3.19          -0.0301163           -0.882883
                 320                 3.2          -0.0389451           -0.882356
                 321                3.21          -0.0477687           -0.881829
                 322                3.22           -0.056587           -0.881301
                 323                3.23             -0.0654           -0.880773
                 324                3.24          -0.0742077           -0.880244
                 325                3.25          -0.0830102           -0.879714
                 326                3.26          -0.0918073           -0.879184
                 327                3.27           -0.100599           -0.878653
                 328                3.28           -0.109386           -0.878122
                 329                3.29           -0.118167            -0.87759
                 330                 3.3           -0.126943           -0.877057
                 331                3.31           -0.135713           -0.876524
                 332                3.32           -0.144479           -0.875991
                 333                3.33           -0.153239           -0.875456
                 334                3.34           -0.161993           -0.874922
                 335                3.35           -0.170742           -0.874387
                 336                3.36           -0.179486           -0.873851
                 337                3.37           -0.188225           -0.873315
                 338                3.38           -0.196958           -0.872778
                 339                3.39           -0.205686           -0.872241
                 340                 3.4           -0.214408           -0.871703
                 341                3.41           -0.223125           -0.871165
                 342                3.42           -0.231837           -0.870627
